Player_Id,Player_Name,DOB,Batting_Hand,Country
274,AC Thomas,09-Feb-77,Right_Hand,England
275,JEC Franklin,07-Nov-80,Left_Hand,New Zealand
276,Shakib Al Hasan,24-Mar-87,Left_Hand,Bangladesh
277,DH Yagnik,22-Jun-83,Left_Hand,India
278,S Randiv,30-Jan-85,Right_Hand,Sri Lanka
279,BJ Haddin,23-Oct-77,Right_Hand,Australia
280,NLTC Perera,03-Apr-89,Left_Hand,Sri Lanka
281,NL McCullum,01-Sep-80,Right_Hand,New Zealand
282,JE Taylor,22-Jun-84,Right_Hand,New Zealand
283,J Syed Mohammad,03-Jun-83,Left_Hand,India
284,RN ten Doeschate,30-Jun-80,Right_Hand,Netherlands
285,TR Birt,09-Dec-81,Left_Hand,Australia
286,AG Murtaza,01-Jan-90,Left_Hand,India
287,Harpreet Singh,11-Aug-91,Left_Hand,India
288,M Klinger,04-Jul-80,Right_Hand,Australia
289,AC Blizzard,27-Jun-84,Left_Hand,Australia
290,I Malhotra,23-May-84,Right_Hand,India
291,L Ablish,03-Dec-82,Right_Hand,India
292,CA Ingram,03-Jul-85,Left_Hand,South Africa
293,S Nadeem,12-Aug-89,Right_Hand,India
294,P Parameswaran,30-May-85,Right_Hand,India
295,CJ Ferguson,21-Nov-84,Right_Hand,Australia
296,VR Aaron,29-Oct-89,Right_Hand,India
297,AA Chavan,28-Oct-85,Left_Hand,India
298,ND Doshi,06-Oct-78,Right_Hand,India
299,B Kumar,05-Feb-90,Right_Hand,India
300,Y Gnaneswara Rao,25-Aug-84,Right_Hand,India
301,S Rana,18-Sep-84,Right_Hand,India
302,BA Bhatt,13-May-90,Left_Hand,India
303,F du Plessis,13-Jul-84,Right_Hand,South Africa
304,RE Levi,14-Jan-88,Right_Hand,South Africa
305,GJ Maxwell,14-Oct-88,Right_Hand,Australia
306,SPD Smith,02-Jun-89,Right_Hand,India
307,MN Samuels,05-Feb-81,Right_Hand,West Indies
308,SA Yadav,14-Sep-90,Right_Hand,India
309,KK Cooper,16-Feb-89,Right_Hand,West Indies
310,JP Faulkner,29-Apr-90,Right_Hand,Australia
311,HV Patel,23-Nov-90,Right_Hand,India
312,DAJ Bracewell,28-Sep-90,Right_Hand,New Zealand
313,DJ Harris,31-Dec-79,Right_Hand,Australia
314,Ankit Sharma,20-Apr-91,Left_Hand,India
315,SP Narine,26-May-88,Left_Hand,West Indies
316,GB Hogg,06-Feb-71,Left_Hand,Australia
317,RR Bhatkal,01-Sep-85,Right_Hand,India
